url,status,final_url,locale,title,h1,canonical,robots,x_robots_tag,content_sha256,visible_text_sha256,content_bytes,visible_text_chars,seconds,truncated,error,source_ids,canonical_duplicate_group,exact_text_duplicate_group,canonical_recommendation,canonical_recommendation_evidence,decision
https://psitrends.com/index.php?id=87&option=com_quix&view=page,200,https://psitrends.com/index.php?id=87&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,[],[],[],,2d5ffb2d5ffa38a1f447bd5b3ecbd0e4158fa10aaaf2825adc249b4c516c3b07,1eb55aedf6b0710b95db9a453a9cef5d274bf1110d4471aeee11beeb52881900,241122,15419,0.982,False,,"[{""type"": ""quix"", ""id"": ""87"", ""language"": ""*""}, {""type"": ""menu_exact"", ""id"": ""278"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=88&option=com_quix&view=page,200,https://psitrends.com/index.php?id=88&option=com_quix&view=page,en-gb,What is personality homeopathy (alchemy of the soul)?,"[""Psychic Alchemy""]",[],[],,4635756a3601949af7d7669afd6a1c800761cebce83af9192606aaf8cbd441a1,0c4d6c545a489bf027a83d5fb371ae0eb296637d1707854eac12910405070e30,188506,18581,0.866,False,,"[{""type"": ""quix"", ""id"": ""88"", ""language"": ""en-GB""}, {""type"": ""menu_exact"", ""id"": ""303"", ""language"": ""en-GB""}]",,0c4d6c545a489bf027a83d5fb371ae0eb296637d1707854eac12910405070e30,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=89&option=com_quix&view=page,200,https://psitrends.com/index.php?id=89&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Сила Жизни""]",[],[],,011cf2e33602d5d1e1a4579eae694cb9aeec1bdbf4c4a23cfe8bff80cd22c5bd,2af71412f0cf85156fc84251ab5bb2912c442751e5f3d5196ab875a41f156fe6,191478,13604,0.958,False,,"[{""type"": ""quix"", ""id"": ""89"", ""language"": ""ru-RU""}, {""type"": ""menu_exact"", ""id"": ""323"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=91&option=com_quix&view=page,200,https://psitrends.com/index.php?id=91&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Школа Рейки Иггдрасиль""]",[],[],,5a0666d9200bd2a2160f9f6be85c8c30c734c05758bf67535c6bc69eee37da78,22e064a067151271a755e5a61cf9686effb528f3ec05ca5799cf7a4695a0caf5,173704,10681,0.876,False,,"[{""type"": ""quix"", ""id"": ""91"", ""language"": ""*""}, {""type"": ""menu_exact"", ""id"": ""283"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=93&option=com_quix&view=page,200,https://psitrends.com/index.php?id=93&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Наши книги""]",[],[],,f31355d13bd48e0e4c369911e0472a930714da5683551d9298a8c1913815fb66,65a22186ca665d49acf54a811765c0ceb597eae202bc3fac6b4dc4336c72321a,53948,2911,0.708,False,,"[{""type"": ""quix"", ""id"": ""93"", ""language"": ""*""}, {""type"": ""menu_exact"", ""id"": ""284"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=94&option=com_quix&view=page,200,https://psitrends.com/index.php?id=94&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Видео-курсы""]",[],[],,e6d9c43d179a601eeb0f4845a2afe6e85892acc7fc2419f49530d473a7ef8bc2,75606bffbfae38ccc09410285fdb723f8e881d6ac9bcda9aa39a4491403363fb,47816,2641,0.72,False,,"[{""type"": ""quix"", ""id"": ""94"", ""language"": ""*""}, {""type"": ""menu_exact"", ""id"": ""285"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=95&option=com_quix&view=page,200,https://psitrends.com/index.php?id=95&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Звезда Рождения""]",[],[],,015699d2a4e08e4331a3db74e7ddd59b34c0e271bc4ec645e803ace5a2f3d221,6f2d2b545ae88bb66685ef59dbfaa2e7a8a38e065a45851433b0130ae5e58797,92387,7013,0.773,False,,"[{""type"": ""quix"", ""id"": ""95"", ""language"": ""*""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=97&option=com_quix&view=page,200,https://psitrends.com/index.php?id=97&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Бесплатные материалы и услуги Академии""]",[],[],,bb099b27eebbdaecf36703db5169191f884294954d81c2d127f2f4a3455e224c,e504df49d46104aaa2d0e50c845ee8349b443057b1df3fe6dc355a3868a6c008,154186,3364,0.886,False,,"[{""type"": ""quix"", ""id"": ""97"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=98&option=com_quix&view=page,200,https://psitrends.com/index.php?id=98&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Медитации Солнца""]",[],[],,ba18020fb1c58e4d2d105ff427d9dcfeac635aea1f57836e9db4a600c66bb869,dcbafdb37cff94986c5553c02ebbd0648d33d5392bbe11b63f37b6e358d20ae2,60274,3522,0.716,False,,"[{""type"": ""quix"", ""id"": ""98"", ""language"": ""ru-RU""}, {""type"": ""menu_exact"", ""id"": ""288"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=99&option=com_quix&view=page,200,https://psitrends.com/index.php?id=99&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Курс Греческие Мистерии. Канал Деметры.""]",[],[],,bf4100c7384cae26fe135a0afc27bd36f1fb8f04c26cf2b1f021fb5a651af62f,57b6e9cfd027057621290c114052961ba74e4fd8f47f834b1812b729b71c775f,58761,2844,0.698,False,,"[{""type"": ""quix"", ""id"": ""99"", ""language"": ""ru-RU""}, {""type"": ""menu_exact"", ""id"": ""292"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
