extension_id,name,type,element,folder,client_id,enabled,protected,version
154,plg_privacy_user,plugin,user,privacy,0,1,0,3.9.0
155,plg_quickicon_joomlaupdate,plugin,joomlaupdate,quickicon,0,1,0,3.0.0
156,plg_quickicon_extensionupdate,plugin,extensionupdate,quickicon,0,1,0,3.0.0
157,plg_quickicon_overridecheck,plugin,overridecheck,quickicon,0,1,0,4.0.0
158,plg_quickicon_downloadkey,plugin,downloadkey,quickicon,0,1,0,4.0.0
159,plg_quickicon_privacycheck,plugin,privacycheck,quickicon,0,1,0,3.9.0
160,plg_quickicon_phpversioncheck,plugin,phpversioncheck,quickicon,0,1,0,3.7.0
161,plg_sampledata_blog,plugin,blog,sampledata,0,1,0,3.8.0
162,plg_sampledata_multilang,plugin,multilang,sampledata,0,1,0,4.0.0
163,plg_system_accessibility,plugin,accessibility,system,0,0,0,4.0.0
164,plg_system_actionlogs,plugin,actionlogs,system,0,1,0,3.9.0
165,plg_system_cache,plugin,cache,system,0,0,0,3.0.0
166,plg_system_debug,plugin,debug,system,0,1,0,3.0.0
167,plg_system_fields,plugin,fields,system,0,1,0,3.7.0
168,plg_system_highlight,plugin,highlight,system,0,1,0,3.0.0
169,plg_system_httpheaders,plugin,httpheaders,system,0,1,0,4.0.0
170,plg_system_jooa11y,plugin,jooa11y,system,0,1,0,4.2.0
171,plg_system_languagecode,plugin,languagecode,system,0,0,0,3.0.0
172,plg_system_languagefilter,plugin,languagefilter,system,0,1,0,3.0.0
173,plg_system_log,plugin,log,system,0,1,0,3.0.0
174,plg_system_logout,plugin,logout,system,0,1,0,3.0.0
175,plg_system_logrotation,plugin,logrotation,system,0,1,0,3.9.0
176,plg_system_privacyconsent,plugin,privacyconsent,system,0,0,0,3.9.0
177,plg_system_redirect,plugin,redirect,system,0,1,0,3.0.0
178,plg_system_remember,plugin,remember,system,0,1,0,3.0.0
179,plg_system_schedulerunner,plugin,schedulerunner,system,0,1,0,4.1
180,plg_system_sef,plugin,sef,system,0,1,0,3.0.0
181,plg_system_sessiongc,plugin,sessiongc,system,0,1,0,3.8.6
182,plg_system_skipto,plugin,skipto,system,0,1,0,4.0.0
183,plg_system_stats,plugin,stats,system,0,0,0,3.5.0
184,plg_system_task_notification,plugin,tasknotification,system,0,1,0,4.1
185,plg_system_updatenotification,plugin,updatenotification,system,0,1,0,3.5.0
186,plg_system_webauthn,plugin,webauthn,system,0,1,0,4.0.0
187,plg_task_check_files,plugin,checkfiles,task,0,1,0,4.1
188,plg_task_demo_tasks,plugin,demotasks,task,0,1,0,4.1
189,plg_task_requests,plugin,requests,task,0,1,0,4.1
190,plg_task_site_status,plugin,sitestatus,task,0,1,0,4.1
193,plg_user_contactcreator,plugin,contactcreator,user,0,0,0,3.0.0
194,plg_user_joomla,plugin,joomla,user,0,1,0,3.0.0
195,plg_user_profile,plugin,profile,user,0,0,0,3.0.0
196,plg_user_terms,plugin,terms,user,0,0,0,3.9.0
197,plg_user_token,plugin,token,user,0,1,0,3.9.0
198,plg_webservices_banners,plugin,banners,webservices,0,1,0,4.0.0
199,plg_webservices_config,plugin,config,webservices,0,1,0,4.0.0
200,plg_webservices_contact,plugin,contact,webservices,0,1,0,4.0.0
201,plg_webservices_content,plugin,content,webservices,0,1,0,4.0.0
202,plg_webservices_installer,plugin,installer,webservices,0,1,0,4.0.0
203,plg_webservices_languages,plugin,languages,webservices,0,1,0,4.0.0
204,plg_webservices_media,plugin,media,webservices,0,1,0,4.1.0
205,plg_webservices_menus,plugin,menus,webservices,0,1,0,4.0.0
206,plg_webservices_messages,plugin,messages,webservices,0,1,0,4.0.0
207,plg_webservices_modules,plugin,modules,webservices,0,1,0,4.0.0
208,plg_webservices_newsfeeds,plugin,newsfeeds,webservices,0,1,0,4.0.0
209,plg_webservices_plugins,plugin,plugins,webservices,0,1,0,4.0.0
210,plg_webservices_privacy,plugin,privacy,webservices,0,1,0,4.0.0
211,plg_webservices_redirect,plugin,redirect,webservices,0,1,0,4.0.0
212,plg_webservices_tags,plugin,tags,webservices,0,1,0,4.0.0
213,plg_webservices_templates,plugin,templates,webservices,0,1,0,4.0.0
214,plg_webservices_users,plugin,users,webservices,0,1,0,4.0.0
215,plg_workflow_featuring,plugin,featuring,workflow,0,1,0,4.0.0
216,plg_workflow_notification,plugin,notification,workflow,0,1,0,4.0.0
